id,content,metadata,embedding
15.13,"Serviços relacionados a operações de câmbio em geral, edição, alteração, prorrogação, cancelamento e baixa de contrato de câmbio; emissão de registro de exportação ou de crédito; cobrança ou depósito no exterior; emissão, fornecimento e cancelamento de cheques de viagem; fornecimento, transferência, cancelamento e demais serviços relativos a carta de crédito de importação, exportação e garantias recebidas; envio e recebimento de mensagens em geral relacionadas a operações de câmbio.","{""codigo_item"":""15.13"",""fonte_legal"":""Lei Complementar 116/2003""}",
15.14,"Fornecimento, emissão, reemissão, renovação e manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres.","{""codigo_item"":""15.14"",""fonte_legal"":""Lei Complementar 116/2003""}",
15.15,"Compensação de cheques e títulos quaisquer; serviços relacionados a depósito, inclusive depósito identificado, a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento.","{""codigo_item"":""15.15"",""fonte_legal"":""Lei Complementar 116/2003""}",
15.16,"Emissão, reemissão, liquidação, alteração, cancelamento e baixa de ordens de pagamento, ordens de crédito e similares, por qualquer meio ou processo; serviços relacionados à transferência de valores, dados, fundos, pagamentos e similares, inclusive entre contas em geral.","{""codigo_item"":""15.16"",""fonte_legal"":""Lei Complementar 116/2003""}",
15.17,"Emissão, fornecimento, devolução, sustação, cancelamento e oposição de cheques quaisquer, avulso ou por talão.","{""codigo_item"":""15.17"",""fonte_legal"":""Lei Complementar 116/2003""}",
15.18,"Serviços relacionados a crédito imobiliário, avaliação e vistoria de imóvel ou obra, análise técnica e jurídica, emissão, reemissão, alteração, transferência e renegociação de contrato, emissão e reemissão do termo de quitação e demais serviços relacionados a crédito imobiliário.","{""codigo_item"":""15.18"",""fonte_legal"":""Lei Complementar 116/2003""}",
16,Serviços de transporte de natureza municipal.,"{""codigo_item"":""16"",""fonte_legal"":""Lei Complementar 116/2003""}",
16.01,Serviços de transporte de natureza municipal.,"{""codigo_item"":""16.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
17,"Serviços de apoio técnico, administrativo, jurídico, contábil, comercial e congêneres.","{""codigo_item"":""17"",""fonte_legal"":""Lei Complementar 116/2003""}",
17.01,"Assessoria ou consultoria de qualquer natureza, não contida em outros itens desta lista; análise, exame, pesquisa, coleta, compilação e fornecimento de dados e informações de qualquer natureza, inclusive cadastro e similares.","{""codigo_item"":""17.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
